pais,periodo,may_2025,may_2026,acum_2025,acum_2026,var_may_pct,var_acum_pct,en_alcance
Brasil,May 2026,225636,274317,985858,1147785,21.6,16.4,no
Mexico,May 2026,124474,129947,615997,640494,4.4,4.0,no
Argentina,May 2026,56319,41921,273819,246560,-25.6,-10.0,no
Chile,May 2026,25720,25734,128351,132871,0.1,3.5,si
Colombia,May 2026,19729,28180,87033,128783,42.8,48.0,si
Peru,May 2026,16337,23137,83348,115156,41.6,38.2,si
Ecuador,May 2026,10258,13093,45272,63773,27.6,40.9,si
Uruguay,May 2026,5627,6634,27273,31745,17.9,16.4,no
Costa Rica,May 2026,7084,5915,31155,30670,-16.5,-1.6,si
Guatemala,May 2026,5155,5980,24986,29442,16.0,17.8,si
Panama,May 2026,4628,4972,23679,26689,7.4,12.7,si
Paraguay,May 2026,2965,8219,15608,24910,177.2,59.6,no
Venezuela,May 2026,2940,4864,12306,20299,65.4,65.0,no
Rep. Dominicana,May 2026,3896,2962,21028,17311,-24.0,-17.7,si
